22,43,101,132,186,232,319,380,478,561,633,695,783,882,976,1070,1128,1192,1266,1312
37,77,128,186,232,319,367,478,548,633,695,783,870,968,1052,1113,1192,1254,1312,1411
71,84,184,232,319,367,465,547,600,695,763,821,968,1015,1100,1176,1254,1312,1411,1496
81,160,230,311,367,465,547,600,695,763,821,891,1015,1100,1176,1254,1312,1411,1477,1586
120,230,287,341,429,547,600,641,763,817,891,990,1099,1176,1222,1312,1411,1477,1531,1623
194,287,341,429,478,600,640,719,817,891,990,1074,1176,1222,1306,1399,1476,1526,1623,1681
285,314,429,478,574,636,719,801,891,990,1074,1160,1222,1306,1399,1468,1526,1610,1681,1696
313,409,465,560,636,719,794,891,990,1074,1160,1222,1252,1350,1468,1526,1610,1681,1696,1780
361,465,560,636,719,785,868,990,1074,1160,1222,1252,1350,1446,1526,1590,1681,1696,1780,1795
365,560,568,712,785,864,935,1016,1144,1222,1252,1350,1441,1517,1568,1681,1690,1780,1795,1798
