0,40,81,92,198,264,348,376,431,509,579,644,698,741,803,888,1001,1109,1173,1205
22,86,92,189,278,305,368,477,482,579,644,698,741,803,909,954,1056,1189,1248,1335
70,114,125,264,300,399,431,481,579,620,694,735,787,950,983,1044,1110,1205,1276,1369
92,125,184,323,345,436,479,531,626,668,749,815,869,981,1022,1169,1220,1276,1380,1451
125,177,279,364,401,450,503,590,655,720,774,876,954,1022,1110,1200,1231,1347,1392,1514
129,229,345,422,450,494,590,641,672,850,861,968,1022,1110,1186,1237,1309,1427,1498,1597
212,300,373,423,489,506,603,695,765,866,954,1033,1086,1203,1284,1290,1387,1476,1569,1640
279,365,448,487,508,622,696,754,861,910,1001,1062,1137,1225,1342,1377,1476,1599,1668,1724
298,400,483,529,618,665,777,799,923,976,1055,1137,1253,1290,1382,1463,1558,1696,1793,1888
369,482,524,542,668,728,853,881,974,1061,1191,1225,1285,1346,1445,1555,1617,1712,1895,1919
393,502,595,651,759,799,928,968,1074,1115,1202,1285,1345,1488,1562,1633,1710,1886,1920,1930
479,542,693,729,832,861,979,1055,1115,1202,1255,1321,1442,1512,1570,1660,1804,1911,1951,2006
537,639,721,799,849,953,1001,1115,1182,1221,1325,1403,1501,1572,1660,1740,1896,1942,2038,2080
623,721,799,854,921,988,1116,1139,1243,1315,1383,1511,1570,1711,1746,1786,1930,2008,2045,2157
659,786,844,858,971,1070,1129,1198,1330,1422,1469,1525,1640,1753,1762,1878,1960,2074,2150,2202
736,836,858,954,1070,1187,1231,1349,1371,1437,1516,1592,1728,1784,1852,1940,2045,2150,2222,2246
808,858,969,1074,1165,1240,1305,1388,1444,1498,1586,1651,1778,1864,1967,1996,2084,2157,2239,2336
820,918,1007,1097,1191,1303,1351,1430,1497,1558,1651,1788,1847,1931,2007,2076,2157,2239,2336,2370
887,1007,1097,1191,1290,1351,1430,1556,1558,1634,1759,1803,1896,1993,2109,2192,2217,2289,2363,2455
912,1034,1117,1222,1351,1406,1467,1558,1596,1712,1803,1872,1971,2048,2111,2205,2278,2332,2386,2467
