14,47,66,102,199,263,309,408,479,542,615,662,721,818,894,967,1054,1132,1223,1314,1410,1502,1587,1666,1754,1844,1883,1979,2044,2106,2201,2295,2372,2456,2508,2546,2624,2694,2755,2820,2886,2970,3068,3138,3208,3240,3331,3388,3453,3515
45,66,102,199,263,309,408,479,521,612,652,721,818,894,967,1054,1130,1222,1314,1409,1502,1587,1619,1716,1789,1882,1968,2044,2106,2201,2273,2369,2456,2501,2546,2614,2692,2738,2820,2886,2946,3068,3138,3205,3240,3330,3386,3453,3515,3586
55,85,186,221,309,408,474,521,587,652,721,818,894,967,1054,1121,1222,1298,1405,1502,1587,1619,1716,1788,1882,1968,2035,2106,2201,2273,2369,2456,2501,2546,2614,2692,2738,2792,2886,2946,3009,3070,3152,3240,3330,3386,3451,3515,3583,3681
60,184,221,309,384,474,494,587,638,721,818,888,959,1054,1121,1170,1298,1377,1490,1560,1619,1702,1785,1882,1955,2035,2106,2176,2273,2333,2456,2501,2546,2614,2690,2723,2790,2886,2946,3004,3056,3141,3240,3330,3380,3451,3480,3583,3653,3697
63,221,309,384,447,494,587,638,721,818,888,959,1054,1121,1170,1264,1360,1420,1560,1619,1702,1785,1881,1955,2033,2106,2176,2273,2333,2399,2501,2546,2590,2688,2723,2790,2886,2924,3004,3056,3141,3240,3330,3380,3451,3480,3515,3653,3697,3763
145,299,380,411,494,560,638,721,818,862,959,1054,1121,1154,1248,1358,1420,1513,1610,1702,1776,1881,1942,2028,2096,2154,2272,2333,2399,2498,2546,2590,2688,2723,2790,2886,2924,3004,3056,3136,3231,3285,3380,3450,3480,3515,3596,3679,3763,3784
203,301,399,484,549,638,721,814,862,959,1054,1121,1151,1248,1338,1420,1513,1607,1702,1776,1865,1934,2023,2096,2154,2252,2333,2399,2475,2546,2590,2641,2723,2790,2886,2924,3004,3056,3136,3214,3285,3359,3408,3480,3515,3596,3634,3754,3784,3853
254,361,484,549,638,721,813,862,948,1043,1114,1150,1248,1338,1420,1513,1607,1694,1776,1845,1914,1998,2096,2154,2252,2299,2384,2475,2530,2582,2641,2723,2790,2862,2917,3004,3050,3136,3214,3285,3336,3405,3480,3515,3581,3610,3706,3784,3853,3882
297,399,537,638,721,813,862,948,1018,1067,1130,1248,1332,1420,1513,1585,1666,1776,1845,1914,1998,2058,2134,2252,2299,2384,2463,2530,2582,2641,2723,2790,2831,2917,3004,3050,3126,3207,3271,3336,3405,3480,3515,3552,3597,3675,3748,3835,3865,3885
384,420,629,721,784,845,898,1007,1049,1088,1229,1250,1419,1513,1585,1660,1747,1845,1914,1967,2058,2134,2229,2299,2384,2463,2516,2582,2641,2723,2790,2793,2834,2991,3033,3072,3147,3260,3336,3366,3438,3484,3543,3597,3675,3748,3835,3846,3870,3924
