0,13,96,196,260,351,454,512,580,687,738,801,944,1086,1192,1298,1523,1548,1600,1777
4,25,127,260,333,420,512,577,664,733,762,845,1032,1144,1261,1344,1528,1571,1695,1784
25,37,172,303,346,474,561,643,713,762,845,942,1084,1222,1313,1407,1559,1669,1741,1786
28,42,254,312,402,529,564,650,762,822,910,1029,1160,1272,1407,1482,1567,1687,1761,1801
39,70,312,350,500,552,593,665,798,894,989,1114,1229,1327,1417,1520,1586,1720,1782,1827
60,168,339,352,501,562,609,746,850,949,1026,1188,1305,1417,1501,1530,1660,1739,1802,1848
114,264,348,431,558,609,708,802,856,952,1079,1206,1366,1459,1523,1579,1666,1768,1814,1923
123,314,430,447,599,680,734,810,861,1037,1146,1301,1378,1466,1538,1629,1704,1788,1839,1948
186,356,439,532,632,718,808,861,955,1130,1237,1378,1434,1498,1606,1699,1724,1803,1867,1965
282,439,469,621,703,786,849,916,1044,1174,1283,1384,1498,1574,1675,1724,1803,1867,1944,1987
