0,25,92,113,143,215,232,300,343,425,489,582,596,609,689,767,844,877,970,974
25,92,113,146,228,274,344,413,484,489,582,654,713,796,855,890,975,1024,1101,1177
71,95,146,244,276,344,413,509,575,652,728,803,873,943,1002,1021,1031,1101,1185,1271
74,145,244,276,353,409,509,575,652,750,803,873,946,1010,1041,1099,1108,1203,1299,1394
134,232,266,353,378,441,554,576,750,761,807,946,1010,1098,1128,1176,1203,1299,1394,1425
177,262,343,379,474,534,622,661,760,794,898,963,1098,1128,1181,1274,1336,1384,1413,1504
256,333,379,474,516,622,716,778,826,900,988,1020,1118,1197,1290,1336,1413,1438,1485,1531
333,400,425,521,557,716,791,845,900,988,1023,1118,1197,1290,1380,1435,1448,1468,1566,1633
400,425,521,557,588,791,852,925,1021,1118,1145,1237,1293,1390,1455,1479,1504,1566,1633,1710
421,484,569,650,722,852,925,1021,1118,1166,1237,1293,1390,1455,1519,1550,1596,1617,1694,1721
