3,40,83,145,186,227,266,356,386,483,529,555,618,702,797,871,943,1018,1092,1096
40,111,191,220,252,322,364,398,473,539,575,667,747,783,870,941,974,1032,1183,1239
109,123,203,286,308,366,460,546,578,670,733,753,850,914,952,1036,1119,1181,1208,1329
192,230,254,383,463,469,547,631,678,743,792,853,909,960,1055,1118,1199,1220,1296,1338
204,314,325,430,477,547,612,721,726,771,859,950,1032,1053,1096,1190,1290,1320,1382,1385
240,345,396,503,581,598,695,812,886,912,915,1008,1113,1166,1207,1285,1368,1405,1479,1481
310,444,504,558,626,671,787,862,897,975,977,1078,1177,1187,1260,1318,1411,1454,1523,1527
381,531,567,608,668,766,866,885,949,1005,1104,1124,1251,1322,1328,1415,1452,1541,1549,1604
438,564,660,708,761,855,894,982,1043,1090,1131,1217,1277,1325,1397,1418,1477,1544,1607,1613
504,644,756,773,804,918,936,1049,1109,1197,1241,1277,1361,1400,1481,1509,1551,1578,1616,1649
