0,10,38,69,95,123,127,173,251,310,348,393,464,491,559,648,722,756,796,804,851,945,1010,1075,1101,1164,1247,1331,1369,1454,1506,1568,1625,1663,1691,1715,1804,1844,1908,1970,2067,2142,2229,2303,2382,2446,2516,2534,2536,2590
10,38,69,95,138,167,266,290,380,412,433,496,503,559,648,723,756,796,869,918,968,1033,1088,1155,1232,1297,1331,1369,1454,1506,1568,1655,1663,1722,1793,1820,1888,1945,2019,2067,2142,2229,2303,2382,2446,2516,2534,2553,2590,2671
22,55,81,158,177,266,338,391,412,433,496,589,602,653,739,788,876,924,961,1011,1094,1133,1220,1263,1322,1357,1455,1488,1559,1635,1718,1794,1809,1873,1924,1932,2022,2067,2146,2174,2226,2306,2356,2424,2492,2530,2589,2600,2699,2703
55,92,184,192,233,338,391,406,457,529,589,614,694,748,790,876,924,1014,1077,1106,1133,1222,1263,1322,1375,1468,1501,1594,1685,1727,1794,1809,1908,1991,2088,2107,2145,2146,2202,2280,2331,2356,2431,2483,2539,2589,2600,2699,2783,2832
92,184,278,293,363,373,463,480,550,625,682,694,766,858,904,949,1048,1084,1114,1180,1222,1282,1320,1375,1468,1542,1594,1685,1727,1790,1862,1955,1991,2088,2117,2180,2228,2320,2352,2361,2381,2431,2490,2562,2572,2663,2696,2783,2833,2923
115,278,316,369,396,463,526,599,687,715,781,791,858,940,967,1048,1084,1126,1196,1281,1362,1446,1468,1491,1575,1603,1685,1711,1802,1900,1973,2038,2078,2134,2180,2254,2322,2358,2424,2485,2535,2554,2592,2611,2663,2696,2736,2833,2930,2986
178,316,369,452,485,531,619,687,725,781,794,864,953,967,1046,1073,1126,1196,1281,1362,1446,1468,1502,1601,1691,1719,1771,1806,1900,1973,2049,2088,2139,2171,2255,2324,2358,2456,2485,2535,2554,2598,2696,2765,2778,2803,2882,2954,2983,3023
182,339,452,485,532,630,689,747,788,841,875,969,1010,1027,1099,1184,1254,1335,1414,1418,1517,1582,1681,1732,1781,1861,1894,1906,1995,2093,2120,2191,2237,2331,2355,2376,2471,2548,2555,2635,2646,2735,2780,2822,2907,2911,2954,2983,3039,3112
188,430,518,570,630,689,747,788,878,948,999,1010,1104,1121,1184,1267,1335,1414,1491,1549,1609,1684,1765,1825,1897,1996,2001,2042,2139,2192,2256,2308,2331,2427,2472,2540,2599,2627,2678,2703,2779,2787,2842,2907,2920,2991,3034,3039,3082,3143
268,518,570,643,723,781,880,963,966,1014,1086,1183,1256,1280,1281,1372,1430,1491,1587,1675,1684,1765,1825,1897,1996,2081,2169,2261,2298,2304,2362,2383,2479,2495,2540,2607,2627,2681,2740,2785,2819,2915,2916,2944,2995,3044,3106,3118,3132,3145
