16,21,29,53,84,106,126,206,242,247,301,315,355,377,413,486,521,554,634,645,702,709,777,855,943,964,1028,1053,1137,1161,1215,1314,1403,1416,1483,1489,1524,1539,1612,1708,1759,1777,1818,1845,1855,1866,1910,2007,2079,2130,2209,2257,2276,2372,2373,2423,2434,2533,2605,2664,2692,2777,2874,2900,2971,2984,3032,3109,3145,3224,3252,3342,3407,3447,3500,3531,3544,3619,3686,3734,3780,3854,3901,3912,3914,3993,4034,4123,4162,4243,4253,4311,4352,4436,4498,4548,4632,4668,4705,4730
31,37,118,153,172,200,270,277,285,357,358,388,442,471,537,575,659,751,786,822,869,926,942,970,1001,1073,1161,1182,1247,1280,1338,1403,1443,1498,1540,1587,1668,1744,1810,1819,1846,1909,2003,2045,2105,2125,2150,2246,2272,2288,2313,2337,2421,2462,2544,2616,2632,2694,2793,2822,2913,2960,2991,3028,3080,3144,3183,3268,3349,3355,3437,3525,3620,3660,3746,3824,3893,3926,4012,4082,4158,4189,4206,4239,4282,4284,4330,4401,4489,4568,4632,4726,4814,4875,4909,4926,4957,4989,5073,5129
43,68,119,181,231,279,282,330,371,424,509,536,611,634,678,731,793,809,877,911,968,1040,1129,1152,1199,1289,1293,1367,1428,1449,1483,1554,1624,1716,1718,1812,1822,1885,1918,1945,2004,2075,2137,2153,2165,2210,2245,2315,2387,2458,2492,2550,2634,2698,2756,2826,2909,2918,2980,3012,3099,3100,3181,3249,3256,3316,3379,3466,3472,3526,3560,3587,3634,3696,3799,3882,3972,4058,4088,4150,4197,4253,4287,4362,4458,4525,4565,4578,4651,4707,4756,4837,4919,4957,5036,5089,5174,5183,5212,5261
83,145,198,201,234,314,342,427,472,531,563,616,652,737,795,864,945,976,1054,1153,1184,1252,1261,1269,1295,1317,1352,1424,1437,1519,1572,1603,1723,1788,1798,1839,1893,1986,2061,2149,2168,2171,2233,2325,2408,2429,2502,2514,2540,2607,2706,2709,2734,2816,2900,2953,3044,3048,3058,3145,3237,3287,3375,3412,3509,3552,3584,3671,3685,3687,3747,3792,3826,3848,3932,3966,4039,4069,4171,4265,4296,4389,4431,4435,4461,4569,4607,4704,4764,4792,4849,4942,4982,5069,5118,5190,5212,5283,5343,5418
88,152,208,253,328,360,451,495,567,638,727,823,864,873,941,1023,1039,1048,1124,1165,1249,1273,1299,1303,1401,1434,1464,1534,1569,1666,1704,1778,1812,1826,1882,1978,2016,2114,2117,2188,2205,2246,2339,2413,2436,2528,2561,2616,2708,2757,2847,2849,2860,2919,2969,3062,3105,3158,3159,3226,3248,3367,3457,3502,3522,3641,3664,3718,3803,3839,3914,3978,4038,4095,4187,4269,4287,4356,4452,4548,4588,4672,4700,4717,4759,4845,4853,4867,4889,4967,5020,5113,5191,5276,5327,5380,5479,5567,5644,5703
138,232,265,325,359,390,490,593,683,778,828,854,882,973,985,1033,1118,1160,1225,1243,1319,1350,1358,1360,1404,1439,1552,1575,1649,1751,1769,1834,1927,1958,2008,2089,2140,2146,2236,2273,2348,2363,2375,2471,2502,2546,2598,2649,2765,2832,2857,2910,2968,2998,3090,3144,3194,3239,3303,3396,3444,3502,3574,3623,3651,3671,3753,3760,3865,3959,4008,4089,4124,4211,4233,4347,4407,4491,4499,4601,4615,4748,4778,4872,4888,4945,4983,5018,5079,5086,5137,5236,5315,5353,5378,5465,5550,5640,5653,5724
192,289,324,335,399,449,584,648,779,835,837,906,983,985,1023,1062,1197,1207,1246,1277,1355,1393,1445,1503,1581,1647,1713,1812,1841,1848,1926,2004,2008,2029,2105,2152,2178,2204,2333,2397,2411,2495,2546,2567,2588,2679,2704,2736,2845,2935,3019,3078,3111,3175,3225,3261,3264,3359,3375,3417,3485,3601,3623,3645,3678,3746,3810,3874,3944,4057,4120,4180,4228,4236,4247,4419,4443,4500,4580,4684,4698,4781,4826,4915,4921,4951,5060,5100,5159,5161,5251,5300,5317,5406,5495,5560,5574,5697,5774,5850
204,314,357,385,407,539,594,700,784,859,932,955,1059,1098,1175,1211,1218,1283,1287,1288,1418,1442,1456,1596,1687,1715,1736,1906,1951,2015,2043,2088,2161,2163,2233,2244,2327,2330,2334,2469,2516,2577,2617,2676,2763,2836,2874,2954,3012,3097,3165,3173,3208,3253,3277,3322,3379,3387,3389,3502,3577,3674,3741,3771,3845,3864,3933,3984,4030,4065,4180,4257,4292,4315,4363,4462,4555,4600,4650,4706,4776,4865,4924,4930,5025,5059,5157,5183,5216,5281,5351,5426,5435,5449,5544,5613,5693,5711,5829,5886
267,324,406,493,570,625,724,790,882,912,956,1055,1129,1146,1204,1235,1322,1364,1401,1408,1445,1482,1551,1654,1756,1830,1857,1978,2033,2086,2157,2231,2257,2280,2292,2352,2439,2495,2504,2595,2599,2648,2676,2682,2799,2866,2905,2969,3038,3163,3166,3232,3287,3331,3390,3471,3504,3521,3594,3678,3726,3761,3792,3883,3964,3999,4090,4113,4124,4220,4247,4319,4353,4358,4432,4507,4583,4605,4709,4757,4803,4892,4951,5026,5067,5166,5203,5257,5333,5391,5443,5502,5534,5572,5605,5645,5753,5804,5917,5970
329,383,424,572,624,684,799,866,906,932,1005,1131,1149,1210,1223,1315,1352,1377,1406,1479,1539,1629,1724,1766,1857,1864,1930,2002,2088,2153,2158,2305,2325,2337,2390,2425,2444,2554,2628,2716,2761,2816,2826,2841,2938,3011,3058,3099,3181,3240,3271,3307,3404,3462,3488,3505,3540,3625,3702,3782,3840,3855,3915,4010,4088,4185,4189,4242,4288,4385,4391,4453,4549,4561,4616,4619,4628,4697,4786,4839,4901,4962,5049,5127,5216,5224,5298,5336,5422,5486,5487,5559,5604,5676,5763,5768,5837,5854,5940,6026
