Item,Machine,Job,Start,End
1,Machine 1,Job 1,0,25
2,Machine 1,Job 2,44,45
3,Machine 1,Job 3,53,58
4,Machine 1,Job 4,80,115
5,Machine 1,Job 5,129,152
6,Machine 1,Job 6,160,211
7,Machine 1,Job 7,236,247
8,Machine 1,Job 8,255,294
9,Machine 1,Job 9,325,354
10,Machine 1,Job 10,387,389
11,Machine 1,Job 11,418,455
12,Machine 1,Job 12,548,550
13,Machine 1,Job 13,554,628
14,Machine 1,Job 14,652,725
15,Machine 1,Job 15,740,776
16,Machine 1,Job 16,806,841
17,Machine 1,Job 17,869,887
18,Machine 1,Job 18,918,938
19,Machine 1,Job 19,967,1034
20,Machine 1,Job 20,1078,1120
21,Machine 1,Job 21,1131,1197
22,Machine 1,Job 22,1261,1295
23,Machine 1,Job 23,1307,1370
24,Machine 1,Job 24,1419,1466
25,Machine 1,Job 25,1491,1556
26,Machine 1,Job 26,1556,1655
27,Machine 1,Job 27,1655,1747
28,Machine 1,Job 28,1747,1824
29,Machine 1,Job 29,1824,1922
30,Machine 1,Job 30,1977,2005
31,Machine 1,Job 31,2005,2082
32,Machine 1,Job 32,2103,2123
33,Machine 1,Job 33,2134,2219
34,Machine 1,Job 34,2282,2302
35,Machine 1,Job 35,2324,2365
36,Machine 1,Job 36,2372,2439
37,Machine 1,Job 37,2508,2537
38,Machine 1,Job 38,2594,2622
39,Machine 1,Job 39,2687,2688
40,Machine 1,Job 40,2705,2772
41,Machine 1,Job 41,2773,2832
42,Machine 1,Job 42,2896,2909
43,Machine 1,Job 43,2950,2996
44,Machine 1,Job 44,3024,3063
45,Machine 1,Job 45,3135,3138
46,Machine 1,Job 46,3142,3221
47,Machine 1,Job 47,3239,3319
48,Machine 1,Job 48,3327,3413
49,Machine 1,Job 49,3483,3505
50,Machine 1,Job 50,3514,3599
51,Machine 2,Job 1,25,45
52,Machine 2,Job 2,45,58
53,Machine 2,Job 3,65,115
54,Machine 2,Job 4,150,152
55,Machine 2,Job 5,206,211
56,Machine 2,Job 6,211,247
57,Machine 2,Job 7,283,294
58,Machine 2,Job 8,294,354
59,Machine 2,Job 9,361,389
60,Machine 2,Job 10,449,455
61,Machine 2,Job 11,531,550
62,Machine 2,Job 12,589,628
63,Machine 2,Job 13,658,725
64,Machine 2,Job 14,725,776
65,Machine 2,Job 15,778,841
66,Machine 2,Job 16,871,887
67,Machine 2,Job 17,905,938
68,Machine 2,Job 18,972,1034
69,Machine 2,Job 19,1106,1120
70,Machine 2,Job 20,1162,1197
71,Machine 2,Job 21,1278,1295
72,Machine 2,Job 22,1298,1370
73,Machine 2,Job 23,1458,1466
74,Machine 2,Job 24,1510,1556
75,Machine 2,Job 25,1606,1652
76,Machine 2,Job 26,1694,1741
77,Machine 2,Job 27,1796,1818
78,Machine 2,Job 28,1866,1901
79,Machine 2,Job 29,1922,2005
