Item,Machine,Job,Start,End
1,Machine 1,Job 1,0,78
2,Machine 1,Job 2,78,160
3,Machine 1,Job 3,182,260
4,Machine 1,Job 4,300,320
5,Machine 1,Job 5,355,370
6,Machine 1,Job 6,423,435
7,Machine 1,Job 7,487,582
8,Machine 1,Job 8,591,640
9,Machine 1,Job 9,650,670
10,Machine 1,Job 10,707,797
11,Machine 1,Job 11,855,922
12,Machine 1,Job 12,992,1084
13,Machine 1,Job 13,1111,1130
14,Machine 1,Job 14,1146,1238
15,Machine 1,Job 15,1339,1429
16,Machine 1,Job 16,1442,1520
17,Machine 1,Job 17,1560,1635
18,Machine 1,Job 18,1743,1791
19,Machine 1,Job 19,1791,1879
20,Machine 1,Job 20,1931,2014
21,Machine 1,Job 21,2042,2107
22,Machine 1,Job 22,2133,2176
23,Machine 1,Job 23,2208,2254
24,Machine 1,Job 24,2260,2346
25,Machine 1,Job 25,2408,2420
26,Machine 1,Job 26,2447,2507
27,Machine 1,Job 27,2603,2695
28,Machine 1,Job 28,2750,2808
29,Machine 1,Job 29,2846,2925
30,Machine 1,Job 30,2937,2992
31,Machine 1,Job 31,3043,3088
32,Machine 1,Job 32,3150,3205
33,Machine 1,Job 33,3266,3273
34,Machine 1,Job 34,3307,3365
35,Machine 1,Job 35,3391,3478
36,Machine 1,Job 36,3533,3602
37,Machine 1,Job 37,3639,3708
38,Machine 1,Job 38,3708,3730
39,Machine 1,Job 39,3759,3841
40,Machine 1,Job 40,3913,3984
41,Machine 1,Job 41,4064,4103
42,Machine 1,Job 42,4191,4196
43,Machine 1,Job 43,4297,4309
44,Machine 1,Job 44,4309,4362
45,Machine 1,Job 45,4393,4457
46,Machine 1,Job 46,4460,4533
47,Machine 1,Job 47,4646,4659
48,Machine 1,Job 48,4740,4761
49,Machine 1,Job 49,4769,4846
50,Machine 1,Job 50,4850,4943
51,Machine 1,Job 51,4963,5024
52,Machine 1,Job 52,5098,5112
53,Machine 1,Job 53,5186,5235
54,Machine 1,Job 54,5314,5335
55,Machine 1,Job 55,5408,5417
56,Machine 1,Job 56,5546,5584
57,Machine 1,Job 57,5688,5774
58,Machine 1,Job 58,5795,5813
59,Machine 1,Job 59,5885,5905
60,Machine 1,Job 60,6021,6106
61,Machine 1,Job 61,6115,6180
62,Machine 1,Job 62,6206,6301
63,Machine 1,Job 63,6343,6377
64,Machine 1,Job 64,6386,6473
65,Machine 1,Job 65,6643,6668
66,Machine 1,Job 66,6762,6810
67,Machine 1,Job 67,6928,6972
68,Machine 1,Job 68,6972,7025
69,Machine 1,Job 69,7185,7214
70,Machine 1,Job 70,7238,7279
71,Machine 1,Job 71,7383,7442
