Item,Machine,Job,Start,End
1,Machine 1,Job 1,0,6
2,Machine 1,Job 2,6,35
3,Machine 1,Job 3,35,53
4,Machine 1,Job 4,53,90
5,Machine 1,Job 5,90,135
6,Machine 1,Job 6,135,141
7,Machine 1,Job 7,141,154
8,Machine 1,Job 8,154,171
9,Machine 1,Job 9,171,221
10,Machine 1,Job 10,221,248
11,Machine 1,Job 11,248,249
12,Machine 1,Job 12,249,261
13,Machine 1,Job 13,261,299
14,Machine 1,Job 14,299,321
15,Machine 1,Job 15,321,361
16,Machine 1,Job 16,361,413
17,Machine 1,Job 17,413,447
18,Machine 1,Job 18,447,479
19,Machine 1,Job 19,479,514
20,Machine 1,Job 20,514,555
21,Machine 1,Job 21,555,611
22,Machine 1,Job 22,611,636
23,Machine 1,Job 23,636,653
24,Machine 1,Job 24,653,723
25,Machine 1,Job 25,723,738
26,Machine 1,Job 26,738,779
27,Machine 1,Job 27,779,862
28,Machine 1,Job 28,862,883
29,Machine 1,Job 29,883,936
30,Machine 1,Job 30,936,1025
31,Machine 1,Job 31,1025,1119
32,Machine 1,Job 32,1119,1162
33,Machine 1,Job 33,1162,1252
34,Machine 1,Job 34,1252,1333
35,Machine 1,Job 35,1333,1364
36,Machine 1,Job 36,1364,1461
37,Machine 1,Job 37,1461,1509
38,Machine 1,Job 38,1509,1554
39,Machine 1,Job 39,1554,1610
40,Machine 1,Job 40,1610,1667
41,Machine 1,Job 41,1667,1725
42,Machine 1,Job 42,1725,1759
43,Machine 1,Job 43,1759,1781
44,Machine 1,Job 44,1781,1875
45,Machine 1,Job 45,1875,1894
46,Machine 1,Job 46,1894,1926
47,Machine 1,Job 47,1926,1997
48,Machine 1,Job 48,1997,2067
49,Machine 1,Job 49,2067,2136
50,Machine 1,Job 50,2136,2165
51,Machine 1,Job 51,2165,2234
52,Machine 1,Job 52,2234,2303
53,Machine 1,Job 53,2303,2370
54,Machine 1,Job 54,2370,2424
55,Machine 1,Job 55,2424,2482
56,Machine 1,Job 56,2482,2494
57,Machine 1,Job 57,2494,2520
58,Machine 1,Job 58,2520,2554
59,Machine 1,Job 59,2554,2593
60,Machine 1,Job 60,2593,2672
61,Machine 1,Job 61,2672,2761
62,Machine 1,Job 62,2761,2800
63,Machine 1,Job 63,2800,2829
64,Machine 1,Job 64,2829,2867
65,Machine 1,Job 65,2867,2931
66,Machine 1,Job 66,2931,2985
67,Machine 1,Job 67,2985,3048
68,Machine 1,Job 68,3048,3122
69,Machine 1,Job 69,3122,3203
70,Machine 1,Job 70,3203,3232
71,Machine 1,Job 71,3232,3330
72,Machine 1,Job 72,3330,3377
73,Machine 1,Job 73,3377,3425
74,Machine 1,Job 74,3425,3464
75,Machine 1,Job 75,3464,3471
76,Machine 1,Job 76,3471,3483
77,Machine 1,Job 77,3483,3567
78,Machine 1,Job 78,3567,3623
79,Machine 1,Job 79,3623,3706
80,Machine 1,Job 80,3706,3794
81,Machine 1,Job 81,3794,3844
82,Machine 1,Job 82,3844,3895
83,Machine 1,Job 83,3895,3934
84,Machine 1,Job 84,3934,3979
85,Machine 1,Job 85,3979,3987
86,Machine 1,Job 86,3987,4060
87,Machine 1,Job 87,4060,4147
88,Machine 1,Job 88,4147,4192
89,Machine 1,Job 89,4192,4222
90,Machine 1,Job 90,4222,4255
91,Machine 1,Job 91,4255,4340
92,Machine 1,Job 92,4340,4345
93,Machine 1,Job 93,4345,4380
94,Machine 1,Job 94,4380,4391
95,Machine 1,Job 95,4391,4473
